city,month,count,k,c,mean_ws,std_ws,status,file,location_id
Manjil,9,15120,1.756855,1.791233,1.594947,0.949272,OK,36.7448_49.4000.csv,single
Manjil,10,15624,1.845956,1.610214,1.430339,0.813391,OK,36.7448_49.4000.csv,single
Manjil,11,15120,1.940897,1.564608,1.387518,0.753430,OK,36.7448_49.4000.csv,single
Manjil,12,15624,1.887941,1.637175,1.453073,0.809384,OK,36.7448_49.4000.csv,single
Qazvin,1,15624,1.400858,2.258524,2.058274,1.509044,OK,36.2694_50.0032.csv,single
Qazvin,2,14256,1.511397,2.705743,2.440391,1.668345,OK,36.2694_50.0032.csv,single
Qazvin,3,15624,1.545852,2.921186,2.628046,1.759726,OK,36.2694_50.0032.csv,single
Qazvin,4,15120,1.671969,2.927347,2.615006,1.629003,OK,36.2694_50.0032.csv,single
Qazvin,5,15624,1.785747,3.050872,2.714172,1.591325,OK,36.2694_50.0032.csv,single
Qazvin,6,15120,2.179386,3.872667,3.429659,1.673822,OK,36.2694_50.0032.csv,single
Qazvin,7,15624,2.252360,4.111478,3.641690,1.724211,OK,36.2694_50.0032.csv,single
Qazvin,8,15624,2.086730,3.613900,3.200958,1.625969,OK,36.2694_50.0032.csv,single
Qazvin,9,15120,1.963072,3.288793,2.915737,1.566786,OK,36.2694_50.0032.csv,single
Qazvin,10,15624,1.698968,2.806431,2.504126,1.537090,OK,36.2694_50.0032.csv,single
Qazvin,11,15120,1.533881,2.310412,2.080323,1.402982,OK,36.2694_50.0032.csv,single
Qazvin,12,15624,1.458956,2.153138,1.950651,1.377615,OK,36.2694_50.0032.csv,single
Tabriz,1,15624,1.383237,2.377365,2.170977,1.610334,OK,38.0667_46.3000.csv,single
Tabriz,2,14256,1.397268,2.657130,2.422515,1.780293,OK,38.0667_46.3000.csv,single
Tabriz,3,15624,1.422398,3.539683,3.218344,2.326638,OK,38.0667_46.3000.csv,single
Tabriz,4,15120,1.522877,3.625897,3.267442,2.218238,OK,38.0667_46.3000.csv,single
