city,month,count,k,c,mean_ws,std_ws,status,file,location_id
BandarAbbas,1,8184,1.5033758439609903,3.2243410653568225,2.90996945259042,1.9711955420836695,OK,27.2500_56.5000.csv,single
BandarAbbas,2,7464,1.5258814703675918,2.9709543786591888,2.676647909967845,1.789000543306554,OK,27.2500_56.5000.csv,single
BandarAbbas,3,8184,1.5596399099774942,3.1101431921525284,2.7954313294232644,1.8310044054463437,OK,27.2500_56.5000.csv,single
BandarAbbas,4,7920,1.5877719429857464,3.3430282181201347,2.9994280303030303,1.932518589332475,OK,27.2500_56.5000.csv,single
BandarAbbas,5,8184,1.5783945986496624,3.5386910900605697,3.176797409579668,2.058369197723588,OK,27.2500_56.5000.csv,single
BandarAbbas,6,7920,1.7959489872468115,3.46452989234308,3.081299242424243,1.7748905275382407,OK,27.2500_56.5000.csv,single
BandarAbbas,7,8184,2.051012753188297,3.630429877661879,3.216158357771261,1.6438683397736336,OK,27.2500_56.5000.csv,single
BandarAbbas,8,8184,2.182295573893473,3.587556037553359,3.1771688660801565,1.535214218327157,OK,27.2500_56.5000.csv,single
BandarAbbas,9,7920,2.2666916729182294,3.3230074537826124,2.943465909090909,1.374685534339562,OK,27.2500_56.5000.csv,single
BandarAbbas,10,8184,1.7809452363090772,3.087213391859783,2.746884164222874,1.594360859693043,OK,27.2500_56.5000.csv,single
BandarAbbas,11,7920,1.4452363090772693,3.313397784051829,3.005695707070707,2.1111966458661806,OK,27.2500_56.5000.csv,single
BandarAbbas,12,8161,1.49774943735934,3.307394640602543,2.9862798676632765,2.030598755534489,OK,27.2500_56.5000.csv,single
Bushehr,1,8184,1.8784696174043511,4.80762312974842,4.267744379276637,2.3605528736702386,OK,29.0000_51.0000.csv,single
Bushehr,2,7464,1.8634658664666168,4.987897703422641,4.429070203644159,2.467334858382996,OK,29.0000_51.0000.csv,single
Bushehr,3,8184,1.6946736684171042,4.986444781585263,4.4500879765395895,2.7027251566206014,OK,29.0000_51.0000.csv,single
Bushehr,4,7920,1.687171792948237,4.882220217959353,4.3584305555555565,2.6569202479878644,OK,29.0000_51.0000.csv,single
Bushehr,5,8184,1.6759189797449363,5.078125913896353,4.535510752688172,2.781582812152023,OK,29.0000_51.0000.csv,single
Bushehr,6,7920,1.5615153788447111,5.328008527322127,4.788281565656566,3.131794823988576,OK,29.0000_51.0000.csv,single
Bushehr,7,8184,1.5840210052513128,4.273648948992917,3.8352675953079176,2.4758322988019734,OK,29.0000_51.0000.csv,single
Bushehr,8,8184,1.5652663165791447,3.683339808941812,3.3094073802541546,2.1611831996412554,OK,29.0000_51.0000.csv,single
Bushehr,9,7920,1.5165041260315075,3.421304015535356,3.0845618686868685,2.0738822615477748,OK,29.0000_51.0000.csv,single
Bushehr,10,8184,1.6159039759939984,3.541646938015204,3.172524437927664,2.011808535841523,OK,29.0000_51.0000.csv,single
Bushehr,11,7920,1.945986496624156,4.094996613376392,3.631260101010101,1.9455241525963876,OK,29.0000_51.0000.csv,single
Bushehr,12,8161,2.021005251312828,4.328923566410228,3.835729689988972,1.9863151444078395,OK,29.0000_51.0000.csv,single
Kerman,1,8184,1.2689422355588895,2.920146696234606,2.710679374389052,2.151466566322827,OK,30.2500_56.7500.csv,single
Kerman,2,7464,1.3270817704426108,3.580016183303134,3.2931524651661306,2.506590282481528,OK,30.2500_56.7500.csv,single
Kerman,3,8184,1.495873968492123,4.101238811777144,3.703616813294232,2.5201900728837154,OK,30.2500_56.7500.csv,single
Kerman,4,7920,1.6065266316579143,3.825765122936551,3.4288093434343434,2.186626951596046,OK,30.2500_56.7500.csv,single
Kerman,5,8184,1.880345086271568,3.3415683618247045,2.966218230694037,1.6397749066190046,OK,30.2500_56.7500.csv,single
Kerman,6,7920,1.810952738184546,3.360648362042563,2.987719696969697,1.7079392107849576,OK,30.2500_56.7500.csv,single
