Year,Month,Energy_MWh_P50,Energy_MWh_P10,Energy_MWh_P90,CF_P10,CF_P50,CF_P90
2010,1,3323.904804248602,2824.935322247171,3885.1164798777636,0.21746598386536128,0.25280956353128126,0.29907965363825184
2010,2,3812.1993103880377,3271.286612032831,4396.53639400543,0.2789711631151493,0.32206274599386703,0.37493103386364784
2010,3,5107.252390954962,4530.815371682662,5625.698203877537,0.3491947044072722,0.39504343537965564,0.4335784754473393
2010,4,5730.82548539148,5007.814024670319,6532.75052737324,0.3990562748768583,0.4550375579885255,0.5205734632537636
2010,5,7183.3470540451235,5859.457331832876,8215.325204847928,0.45212355979033536,0.5633455384601453,0.6339054738520027
2010,6,9427.066041160435,3562.51586437903,11813.196450046205,0.28421776348539485,0.9171673729192402,0.9424576345657835
2010,7,10410.302137655463,3162.7231018370903,12940.47525909425,0.24432582375879633,0.9960034043026346,0.9996740706361661
2010,8,11861.186142357657,7910.220375120821,12918.296144791651,0.6114360106983037,0.9956899063489744,0.9985450575604272
2010,9,8431.80583804517,3303.2958502796496,10468.641260869354,0.2640003911403117,0.785200947799632,0.8366569368417739
2010,10,5044.614528476041,4311.2250504476315,5752.549781377087,0.33363498366700667,0.38852758927572684,0.44517551969459646
2010,11,2946.6673753847303,2503.5965357668024,3369.8447866228753,0.20032257728932623,0.23851539981143766,0.26963449704348535
2010,12,2614.3555479906668,2124.1210853228026,3124.634456675842,0.1645730118859723,0.2023430430254855,0.24209095570447872
2011,1,3362.688945487021,2673.427360066254,3935.5238919779877,0.20725354365870782,0.26026967928464273,0.30509573027850434
2011,2,3833.0878055124945,3234.1293229186676,4469.833866520006,0.27774666338548265,0.3311920418562913,0.38386883094488533
2011,3,5266.396914439995,4523.629281631512,5935.655949392792,0.35109855477498003,0.40719499977239954,0.4606920894104957
2011,4,5628.1153052214495,4832.152587381014,6364.081527070958,0.3877728006826675,0.44978876642798865,0.5107077379902585
2011,5,7082.204006433239,5955.036172742546,8020.830822491564,0.4627377149151556,0.560279441677439,0.6232608533108996
2011,6,8489.06605986412,1068.5123846770523,11744.474519368803,0.08584692082602742,0.8940999481268368,0.943580054537484
2011,7,10013.883928218827,3196.057202981037,12842.27257764681,0.2486414306772339,0.9953997446455127,0.9990813130236882
2011,8,12321.575325575082,12637.706305787466,12827.392225736367,0.9837425127802323,0.9956862816690635,0.9985080168214292
2011,9,8561.375016553246,4719.990717311963,10350.105230806654,0.3798822438263133,0.7823908788144519,0.8330146041381343
2011,10,4967.02452118638,4202.95910397122,5689.730942451465,0.3275493971308923,0.38780367309362057,0.44341805236126386
2011,11,2926.488918443229,2487.4759092764302,3478.3537206585224,0.2004357530139724,0.23076711224619462,0.2802786731116302
2011,12,2569.1049984724345,2147.0352716561374,2984.5703621987373,0.16752100813835635,0.19984309304678816,0.23286913006777413
2012,1,3329.3598798538233,2685.470810557317,4083.2343803864323,0.2096547779788777,0.2582964590805736,0.31877821724600214
2012,2,3889.1695245513915,3421.886526047715,4398.145498501711,0.2857379055412661,0.3194771442817802,0.36725849131506316
2012,3,5090.460257115571,4390.773920481258,5773.206603038881,0.34318939781209085,0.398013058039152,0.4512423853798732
2012,4,5621.139040409994,4805.551699053776,6295.169361359946,0.3883566166928069,0.45648258837438926,0.5087388145605317
2012,5,7171.490745988534,6123.958214397975,8070.322305744959,0.47921837701288367,0.5677494748208689,0.6315272936117131
2012,6,8775.358760273599,2216.6738255629803,11670.59388968674,0.17934848268756895,0.9006986239718078,0.9442540810651445
2012,7,9987.455642178022,2392.534359419145,12753.708774268744,0.187442422004394,0.9958325653230604,0.9991856763837684
2012,8,11565.345044981725,7189.138986027575,12739.587618081814,0.5635608467054052,0.9957916486085137,0.9986637897358278
2012,9,8584.508872503386,4393.838558013553,10339.57686706428,0.35612519268080645,0.7838556334510627,0.838033476970985
2012,10,4812.630249768324,4250.8206471042595,5389.729225060065,0.33361469575204744,0.3746845342758231,0.42299899828265575
2012,11,2870.062553873348,2373.4624300150654,3366.759513895161,0.1925969572866954,0.23236781382506555,0.2731990319678773
2012,12,2581.623682096257,2045.872099261189,3286.639518045881,0.16075309009965272,0.1977961130078432,0.2582455954897197
2013,1,3262.2495626786035,2693.5155883307016,3809.3240697984297,0.21176519032701985,0.25561120658088976,0.29949046523176104
2013,2,3777.1999491010993,3202.40820232017,4299.932936807422,0.2789135804686869,0.3274014878571585,0.3745024417284733
2013,3,5076.356779199211,4382.373288031899,5830.069456367751,0.3449474238953504,0.40180256688278493,0.45889916443155887
2013,4,5557.570662186818,4879.692208310808,6262.191446767192,0.3971281163738778,0.45490095321305807,0.5096412206884141
2013,5,7038.385056107131,6010.698864738929,7852.571202010439,0.47367118634501015,0.5667354400963378,0.6188193421126419
2013,6,8989.077310261819,1417.1191415641642,11610.652970777945,0.11546570974547327,0.9160255357496733,0.946026517149096
2013,7,9979.83785193814,4014.7991238835107,12666.816122738464,0.31675558135320175,0.994785607256151,0.9993737123692138
2013,8,11715.626093849989,9793.549368416954,12645.425660372974,0.7731340515433673,0.9953090931329776,0.9982702702069418
2013,9,8680.684436751417,4799.705704474029,10110.418502891242,0.3917634921839861,0.773079603196939,0.825236609078371
2013,10,4813.05323762454,4151.030998178234,5494.133287505018,0.32807951914454064,0.3777014380032611,0.4342325094348201
2013,11,2938.4285934912523,2428.880613753903,3392.818364652474,0.19848330376561438,0.23742814928059597,0.27725438388348195
2013,12,2535.4335531411925,2100.0863913942576,2997.5843867835656,0.16617617662357329,0.20279723840353103,0.2371936290542326
2014,1,3257.9718656516047,2797.5517218368464,3793.7715704211987,0.22149501466870544,0.254595427297589,0.3003703141861581
2014,2,3758.0364452016343,3338.931315349498,4178.3096812322,0.2928540323216777,0.3283030022142198,0.3664749954011772
2014,3,5015.542456062678,4384.376965208714,5688.004204174413,0.34753790359926956,0.39822410366338024,0.4508729683759078
2014,4,5585.569708384116,4826.704234262612,6272.747716950685,0.39558484520127773,0.46506716602350595,0.5140990237152361
2014,5,7143.831197236815,6282.6406343561575,7827.491523238327,0.4985916111106178,0.5756886749078963,0.6211912851077867
2014,6,8754.458589026444,2953.497950263066,11498.46732968898,0.24234501482739113,0.9058185424746654,0.9434901538555487
2014,7,9790.12247402232,2747.950076633328,12578.999840097296,0.21833333333333335,0.9927584457675407,0.9994413611955795
2014,8,11848.515550867607,11457.49000504881,12559.514085007262,0.9108669056130168,0.9959358969251284,0.9984774785378422
2014,9,8241.40803452031,3657.2334867957493,10179.551443593513,0.30061648483451503,0.7781582507933953,0.8367365614510733
2014,10,4895.818612313848,4297.132624003263,5545.753003250225,0.3420209054740678,0.38967827942249555,0.4414021231534913
2014,11,2940.7666639245867,2495.215070433767,3462.1155558412524,0.20534141382490312,0.2382228812007644,0.2849115939885887
2014,12,2573.3733804704448,1959.9847315498794,3127.3439050995858,0.15618346064017807,0.205384977708005,0.2492057136201174
2015,1,3319.268207343711,2746.6135373053157,3818.3871898271987,0.2189949695051697,0.2702425248175229,0.30445039858630263
2015,2,3645.5341723168945,3149.645500205308,4162.269580109988,0.27819937507735665,0.3184380269337568,0.36764162697503916
2015,3,5078.140864932212,4409.992481986395,5708.659288403907,0.3520326057405732,0.4072407005041012,0.4557001429800066
2015,4,5402.205424993123,4659.714073736842,6187.812561454607,0.38459087720197604,0.4492785829667777,0.5107129371701514
2015,5,6959.517619901646,5853.275682134746,7954.85383368533,0.467791664703243,0.5682688243647742,0.6357490265986366
2015,6,9031.860941878314,3435.6584516690414,11440.452101291718,0.28389526627098116,0.9113022245177288,0.9453472285578312
2015,7,9119.188593273966,3503.8633299747416,12481.99925725812,0.28035552312158796,0.9394304581866122,0.9987254358454382
2015,8,12132.113417666546,12366.736607165969,12470.418345619964,0.9900823049106368,0.9961353783181188,0.9983830763951842
2015,9,8580.534067296541,4322.667296509299,10019.449845508627,0.357818397564943,0.7897934032728644,0.8293822407052557
2015,10,4777.578336149045,4120.856554813415,5493.209668020786,0.33030271495070196,0.3811341266375635,0.44030216606820566
2015,11,2938.2059851989434,2460.2575921082907,3439.1204825066857,0.20389186355922784,0.2420402503601421,0.2850143360728768
2015,12,2441.6745256565096,1944.2665094520648,3016.1213980900125,0.15602309914725193,0.19540683837825434,0.24203708989821912
2016,1,3221.5696856246464,2629.71194073908,3816.300653098072,0.21115215224528458,0.25876086543209675,0.30642903659260395
2016,2,3844.56239908326,3364.2117648809567,4478.690234582739,0.28892730361037594,0.32811923679973715,0.38464162889279413
2016,3,4931.4322797948935,4230.172370564323,5642.548464925968,0.3400586739857718,0.3938784343532693,0.4535979579071388
2016,4,5408.8316086991,4824.674309806456,6124.567082989351,0.40101301007323586,0.44577845552364226,0.509056347358614
2016,5,6895.33432019642,5772.8583586162895,7777.564264889974,0.46461706086744026,0.5647713456905196,0.6259618416009366
2016,6,8063.4675729377495,1867.9786231889232,11333.231661707727,0.1554428755170446,0.8947653162117577,0.9430890142571462
2016,7,10053.068706030926,3779.757887739039,12398.328719147443,0.3045626845417025,0.9959352451371097,0.9990238503855036
2016,8,11841.066127461201,12045.629823428057,12383.515533332999,0.9711726688584531,0.9957204264358985,0.9984145293064053
2016,9,8464.88221524583,3537.6143618299275,9961.370688511224,0.2948981824918417,0.7822917850290088,0.8303873205811833
2016,10,4785.392230238394,4285.287350008246,5369.068083782378,0.34590381077165056,0.3822931046035716,0.4333854322439298
2016,11,2877.350039562847,2465.583350139638,3347.380064737294,0.20577364698936831,0.24151204899584866,0.279366991889157
2016,12,2501.6959079602448,1980.4976312004555,3081.2629287599743,0.16005092321944112,0.19895270242347168,0.24900760731076985
2017,1,3157.570289610887,2663.6569037504933,3619.0932451538974,0.21538545389520045,0.2549145407791329,0.2926428100402013
2017,2,3701.449871777912,3232.535135069007,4188.897075827464,0.28956044235070255,0.3322062164664378,0.3752283701665849
2017,3,4880.253116093785,4210.0065681779515,5558.952237053799,0.3408233317314175,0.39575520755971993,0.45002794928856016
2017,4,5470.952034721522,4776.990100898729,6167.429494141772,0.39984857622514225,0.45603314581154936,0.5162325753485618
2017,5,6896.17441665124,5669.3093653536425,7784.235229208931,0.4594996227798835,0.5671252111741061,0.6309151469683937
2017,6,8507.441820545282,1598.6469163518739,11214.377156141192,0.1339683552445805,0.9088275320681166,0.9397770372766596
2017,7,9616.68240920639,3099.0099703201136,12317.490462314518,0.25147014652831595,0.9936478179730055,0.9995066686085591
2017,8,11732.589015734582,12178.56974129085,12307.072621682846,0.9888125688994933,0.9969508546293974,0.9992460816986674
2017,9,8353.224974411585,4119.341790464241,9925.875940403495,0.34581210130270484,0.7759802808720861,0.8332612807625415
2017,10,4729.324038997849,4097.309191331351,5432.321949394517,0.3330618478248035,0.3858574563064284,0.4415822926598995
2017,11,2854.3153130965525,2335.443788529633,3337.265410790854,0.19628641199328564,0.23738548313013802,0.280486242730703
2017,12,2431.65342511738,2015.4646622842697,2898.9786416743655,0.16402490533308145,0.19447368948401605,0.23592807463284393
2018,1,3176.566705615862,2724.274070910754,3696.6172624481255,0.22183988631531562,0.26015259218724784,0.30101859501183437
2018,2,3626.531309079792,3073.332142509309,4150.239741975366,0.2772402149953061,0.3233479772571416,0.374386270339093
2018,3,4860.466738357464,4170.194585013342,5591.779987441082,0.3399801927060707,0.39341879559402654,0.45587667408428295
2018,4,5313.9856627736135,4528.8313997609375,6063.408154666926,0.38174918372065647,0.4455579460707423,0.5111033971658687
2018,5,6898.9154715596105,6007.9427837966505,7977.133202864174,0.49037863716331875,0.5600967574306139,0.6511073505960998
2018,6,8361.586089284814,1499.578634828451,11225.199258989085,0.12655219053224265,0.9088885770009802,0.9473151473303612
2018,7,9944.052299561516,4593.292061221463,12221.428943956505,0.3753516017426003,0.9935174876395196,0.9987026447601008
2018,8,11392.801352204511,9461.90003542204,12215.256224318426,0.7736540397268616,0.995631587088132,0.9987827274504821
2018,9,8028.325071657963,3726.7190135754663,9893.72746590795,0.31505745442694616,0.7826877974569956,0.8364173898939424
2018,10,4722.814021506865,4121.661866714337,5347.539047505348,0.3374032495302363,0.38630820038065794,0.43775474795472336
2018,11,2825.9294730919723,2261.984835049902,3418.2408367893304,0.1914525953799214,0.24181519911091115,0.2893171827221884
2018,12,2448.2178249103267,2044.5384418802998,2875.5810395622216,0.16756396949716593,0.1973085590081226,0.23567361891063085
2019,1,3164.2577762989595,2704.2127714188996,3696.393529772141,0.22175858825611514,0.25935529215736197,0.30312223189864174
2019,2,3684.317883745653,3164.972617195023,4272.720320850734,0.28751958792915067,0.3314835461062687,0.388152105744368
2019,3,4833.620109524063,4145.920158619074,5519.543666298051,0.3403838776725151,0.39172195523188535,0.4531596374839695
2019,4,5255.050680475437,4451.313249206043,6015.507972327917,0.3778599591483148,0.4524925001077057,0.5106402244518771
2019,5,6575.94508700885,5240.869975629621,7578.276062253681,0.43078432373954073,0.5549519438935749,0.6229123301608532
2019,6,8797.62716531991,2976.427110275854,11090.795304664603,0.2529568391114169,0.909978815770325,0.9425705450047761
2019,7,9675.911468627812,2950.149112169952,12148.231186382136,0.2427777777777778,0.9958050827172427,0.9997191529045152
2019,8,11718.737108278032,12009.084317205374,12127.768312346763,0.9888469714070046,0.9959431754184593,0.9986195990320688
2019,9,8294.712467998681,5090.47751214184,9872.365532454853,0.43338351266823555,0.7772628907476062,0.8404949128239825
2019,10,4667.220566339446,4029.0631939764926,5284.165839441448,0.3321480685897536,0.3876189507955412,0.4356162693854911
2019,11,2870.5033653896735,2356.5684378497426,3310.564551986063,0.20086412508626364,0.2424689072623197,0.2821787993066036
2019,12,2451.027863717802,1936.2969569709892,2972.266456499541,0.15981151690314715,0.205055058350465,0.2453148569714199
